date,day_index,day_of_week,lunch_period,menu_item,item_category,component_type,sealed_or_whole,cold_chain_required,planned_count,staged_count,selected_count,unopened_return_count,share_table_pickup_count,afterschool_pickup_count,discarded_count,tray_waste_kg,expected_attendance,actual_attendance,expected_lunch_period_attendance,actual_lunch_period_attendance,weather_tag,event_tag,entree,entree_popularity_score,line_position,share_table_monitor,cooler_capacity,afterschool_activity_count,stockout_occurred,intervention_used,estimated_kg_diverted,estimated_co2e_avoided,estimated_cost_protected,kg_per_item,cost_per_item,co2e_kg_per_item,ghost_component_rate,high_ghost_risk
2025-08-12,0,Tuesday,1,white milk,cold beverage,milk,1,1,314,314,285,49,4,1,44,2.98,993,1014,528,515,normal,normal,cheese pizza,0.563,after_entree,0,0,179,0,line_reposition,1.2,1.65,2.1,0.24,0.42,0.33,0.1719,1
2025-08-12,0,Tuesday,1,chocolate milk,cold beverage,milk,1,1,219,219,219,25,1,1,23,0.0,993,1014,528,515,normal,normal,cheese pizza,0.4,after_entree,0,0,179,0,line_reposition,0.48,0.68,0.88,0.24,0.44,0.34,0.1142,0
2025-08-12,0,Tuesday,1,apple,whole fruit,fruit,1,0,254,254,213,39,5,7,27,0.5,993,1014,528,515,normal,normal,cheese pizza,0.436,after_entree,0,0,179,0,line_reposition,2.16,0.96,4.32,0.18,0.36,0.08,0.1831,1
2025-08-12,0,Tuesday,1,banana,whole fruit,fruit,1,0,193,193,172,24,3,6,15,0.0,993,1014,528,515,normal,normal,cheese pizza,0.335,after_entree,0,0,179,0,line_reposition,1.26,0.63,3.06,0.14,0.34,0.07,0.1395,1
2025-08-12,0,Tuesday,1,fruit cup,sealed side,fruit,1,0,148,148,139,12,2,3,7,0.8,993,1014,528,515,normal,normal,cheese pizza,0.271,after_entree,0,0,179,0,line_reposition,0.6,0.5,2.75,0.12,0.55,0.1,0.0863,0
2025-08-12,0,Tuesday,1,baby carrots,sealed side,vegetable,1,0,146,146,134,25,1,8,16,0.0,993,1014,528,515,normal,normal,cheese pizza,0.262,after_entree,0,0,179,0,line_reposition,0.81,0.54,3.42,0.09,0.38,0.06,0.1866,1
2025-08-12,0,Tuesday,1,yogurt cup,sealed side,protein side,1,1,103,103,95,7,1,0,6,0.0,993,1014,528,515,normal,normal,cheese pizza,0.181,after_entree,0,0,179,0,line_reposition,0.17,0.25,0.7,0.17,0.7,0.25,0.0737,0
2025-08-12,0,Tuesday,1,granola pack,sealed side,grain,1,0,110,110,90,1,0,1,0,0.04,993,1014,528,515,normal,normal,cheese pizza,0.197,after_entree,0,0,179,0,line_reposition,0.04,0.06,0.32,0.04,0.32,0.06,0.0111,0
2025-08-12,0,Tuesday,1,veggie wrap,cold entree,entree,1,1,101,101,85,11,0,2,9,0.0,993,1014,528,515,normal,normal,cheese pizza,0.172,entree_station,0,0,179,0,line_reposition,0.6,1.1,3.5,0.3,1.75,0.55,0.1294,0
2025-08-12,0,Tuesday,1,cheese pizza,hot entree,entree,0,0,289,289,235,0,0,0,0,1.22,993,1014,528,515,normal,normal,cheese pizza,0.499,entree_station,0,0,179,0,line_reposition,0.0,0.0,0.0,0.28,1.25,0.7,0.0,0
